after_super_class,bad_match_reason,candidates_after_super_class_guards,candidates_total,is_bad_match,match_percent,price,reason_code,ref_super_class,reference_name,rejected_by_anchor,rejected_by_forbidden,selected_name,selected_super_class,status
,,12,,False,100,161.74,,meat.pork,"СВИНИНА вырезка с/м вес 1,2 кг. Черкизово",0,0,"Колбаса с/в п/с из свинины Segreti d’Artigiano Фуэт Экстра в пряных травах кат А (0,110 кг)",meat.pork,ok
,,12,,False,100,161.74,,meat.pork,СВИНИНА ребра кость с/м вес 20 кг. Мясторг,0,0,"Колбаса с/в п/с из свинины Segreti d’Artigiano Фуэт Экстра в пряных травах кат А (0,110 кг)",meat.pork,ok
0,,,8218,,,,NO_CANDIDATES_AFTER_GUARDS,meat.ground,"ФАРШ рубленый из мяса баранины в/у с/м вес 2,5 кг. Prime lamb",0,0,,,not_found
0,,,8218,,,,NO_CANDIDATES_AFTER_GUARDS,meat.sausage,СОСИСКИ мини куриные вес с/м 1 кг. Ремит,0,0,,,not_found
,,1,,False,100,552.0,,meat.ham,"ВЕТЧИНА вареная из индейки и курицы квадрат вес 2,7 кг. Анком",0,0,"ВЕТЧИНА вареная Юбилейная трапеза форма вес 1,3 кг. Анком",other,ok
,,112,,False,48,59.0,,dairy.молоко,МОЛОКОСОДЕРЖАЩИЙ ПРОДУКТ Гауда 50% вес 4 кг. Пан Ступка,0,0,"МОЛОКО 3,2% 925 мл, ЭТО ХОРОШО, РОССИЯ (-C-)",dairy.молоко,ok
,,379,,False,84,44.76,,dairy.сыр,СЫР Бри 60% 125 гр. NATURA SELECTION,0,23,СЫР плавленый Дружба 45% 90 гр. Карат,dairy.сыр,ok
,,379,,False,87,44.76,,dairy.сыр,СЫР Брынза 45% 450 гр. (500 гр с сывороткой) Natura,0,23,СЫР плавленый Дружба 45% 90 гр. Карат,dairy.сыр,ok
,,379,,False,92,44.76,,dairy.сыр,"СЫР Пармезан 40% вес 2,25 кг. Джюгас",0,23,СЫР плавленый Дружба 45% 90 гр. Карат,dairy.сыр,ok
,,379,,False,91,44.76,,dairy.сыр,СЫР твердый Палермо 40% крошка (срок созревания 6 месяцев) 300 гр. PALERMO,0,23,СЫР плавленый Дружба 45% 90 гр. Карат,dairy.сыр,ok
,,380,,False,36,44.76,,dairy.сыр,МОЛОКОСОДЕРЖАЩИЙ ПРОДУКТ для пиццы Моцарелла Gusto 45% 2 кг. PROFI CHEESE,0,23,СЫР плавленый Дружба 45% 90 гр. Карат,dairy.сыр,ok
,,380,,False,41,44.76,,dairy.сыр,"ПРОДУКТ белковый Моцарелла классик 50% вес 2,2 кг. Аньково",0,23,СЫР плавленый Дружба 45% 90 гр. Карат,dairy.сыр,ok
,,379,,False,69,44.76,,dairy.сыр,СЫР полутвердый для пиццы Моцарелла Сырный Борт Стрингчиз 34% 500 гр. Alti,0,23,СЫР плавленый Дружба 45% 90 гр. Карат,dairy.сыр,ok
,,379,,False,90,44.76,,dairy.сыр,"СЫР плавленый Дружба 45%, 400 гр. Карат",0,23,СЫР плавленый Дружба 45% 90 гр. Карат,dairy.сыр,ok
