name_raw,name_norm,super_class,brand_id,price
ШАПОЧКА Шарлотта белая 1 упак/100 шт.,шапочка шарлотта белая 100 шт,other,,0.95
Грибы белые целые см вес,грибы белые целые,vegetables.mushrooms.white,,1350.0
Грибы белые резаные  см вес,грибы белые резаные,vegetables.mushrooms.white,,930.0
Грибы шампиньоны резаные см вес,грибы шампиньоны резаные,vegetables.mushrooms.champignon,,160.0
Ежевика вес,ежевика,fruits.ежевика,,475.0
Капуста брокколи см вес,капуста брокколи,vegetables.капуста,,180.0
Капуста брюссельская см вес,капуста брюссельская,vegetables.капуста,,343.0
Клюква Россия см  вес,клюква россия,fruits.клюква,,612.0
Компотная смесь см,компотная смесь,other,,222.0
"Кукуруза в початках зам, см",кукуруза початках,canned.кукуруза.консервированная,,362.0
Кукуруза зерно см,кукуруза зерно,canned.кукуруза.консервированная,,290.0
Малина крошка см вес,малина крошка,fruits.малина,,480.0
Малина целая см вес,малина целая,fruits.малина,,705.0
Манго слайсы см вес,манго слайсы,fruits.манго,,380.0
Морковь мини см вес,морковь мини,vegetables.морковь,,320.0
Смесь овощная мексиканская см вес,смесь овощная мексиканская,other,,180.0
Смородина красная см вес,смородина красная,fruits.смородина,,465.0
Смородина черная см вес,смородина черная,fruits.смородина,,640.0
Тортилья пшеничная 12 дюймов 30см/18шт 5пач в кор,тортилья пшеничная 12 дюймов 30см 18шт 5пач,staples.мука.пшеничная,,1150.0
"Огурцы маринованные Маммингер 10,2",огурцы маринованные маммингер 10,canned.огурцы.консервированные,,2075.0
"Томаты очищенные в с/с Боярин 2,650",томаты очищенные боярин 650,canned.томаты.консервированные,,550.0
Греча зеленая вес,греча зеленая,staples.buckwheat,,125.0
Маш вес,маш,other,,250.0
Нут вес,нут,staples.нут,,200.0
Нут крупный вес,нут крупный,staples.нут,,325.0
Рис золотистый длинный пропаренный Националь,рис золотистый длинный пропаренный националь,staples.рис,,165.0
Рис Лазер Ташкентский Узбекистан вес,рис лазер ташкентский узбекистан,staples.рис,,300.0
Фасоль красная вес,фасоль красная,staples.фасоль,,493.0
"Масло оливковое Extra V.со вкусом трюфеля 0,25",масло оливковое extra со вкусом трюфеля 25,staples.масло.оливковое,,910.0
Сливки 33% Петмол,сливки 33 петмол,dairy.сливки,,657.0
Сметанный продукт с заменителем молочного жира 20% Коровка альпийская,сметанный продукт заменителем молочного жира 20 коровка альпийская,other,,110.0
"Сыр Гауда Люкс 50% Сырная долина, брус",сыр гауда люкс 50 сырная долина брус,dairy.сыр,,690.0
Сыр косичка копченая вес,сыр косичка копченая,dairy.сыр,,638.0
Сыр мягкий кавказский 45% Стародуб,сыр мягкий кавказский 45 стародуб,dairy.сыр,,615.0
Сыр пармезан Джюгас 40% вес,сыр пармезан джюгас 40,dairy.сыр,,1607.0
Сыр пармезан Стародубский 40% вес,сыр пармезан стародубский 40,dairy.сыр,,1415.0
Сыр Чеддер оранж 50%,сыр чеддер оранж 50,dairy.сыр,,915.0
Ветчина ИВ Индейка,ветчина ив индейка,meat.turkey,,411.0
Говяжий язык см вес,говяжий язык,other,,907.0
