name_raw,name_norm,super_class,brand_id,pack,price
КРУАССАН (18% сливочного масла) 80 гр*60шт/кор расстоянный Bridor,круассан 18 сливочного масла 60шт расстоянный bridor,other,,0.08,5054.25
КРУАССАН (18% сливочное мало) 55 гр*110шт/кор п/ф расстоянный ТМ Bridor Франция,круассан 18 сливочное мало 110шт расстоянный тм bridor франция,other,,0.055,6037.5
КРУАССАН мини (18% сливочного масла) 25 гр*225шт/кор расстоянный Bridor,круассан мини 18 сливочного масла 225шт расстоянный bridor,other,,0.025,6290.5
ПАНИНИ с/м 100 гр*36 шт. Bagerstat,панини 36 шт bagerstat,other,,0.1,1158.25
УЛИТКА с изюмом 30 гр*260 шт/кор п/ф расстоянный ТМ Bridor Франция,улитка изюмом 260 шт расстоянный тм bridor франция,other,,0.03,8107.5
ЧИАБАТТА с/м 130 гр*36 шт. Bagerstat,чиабатта 36 шт bagerstat,other,,0.13,1289.33
ЧИАБАТТА с/м 70 гр*40 шт. Bagerstat,чиабатта 40 шт bagerstat,other,,0.07,936.77
"ТОРТ Тирамису классик (48 порций) 1,7 кг. Kristof",торт тирамису классик 48 порций kristof,other,,1.7,1538.82
ТОРТ Шоколадное зеркало (70 порций) 2 кг. Kristof,торт шоколадное зеркало 70 порций kristof,other,,2.0,1947.09
ТОРТ Ягодный блюз (70 порций) 2 кг. Kristof,торт ягодный блюз 70 порций kristof,other,,2.0,1834.5
ЗАПЕКАНКА творожная с/м 180 гр. Qummy,запеканка творожная qummy,other,,0.18,231.0
КАША из полбы на кокосовом молоке с/м 250 гр. Qummy,каша из полбы на кокосовом молоке qummy,other,,0.25,152.6
ПИРОЖНОЕ Брауни шоколадный с/м 120 гр. Qummy,пирожное брауни шоколадный qummy,other,,0.12,245.0
СУП Том-Ям с морепродуктами с/м 300 гр. Qummy,суп том ям морепродуктами qummy,other,,0.3,348.6
СУП харчо с/м 300 гр. Qummy,суп харчо qummy,other,,0.3,193.2
СУП-ЛАПША Куринный с/м 300 гр. Qummy,суп лапша куринный qummy,other,,0.3,148.4
УХА Скандинавская с/м 300 гр.Qummy,уха скандинавская qummy,other,,0.3,233.8
БОБЫ соевые зелёные Эдамаме Premium в стручках с/м 500 гр. Don Kreveton,бобы соевые зеленые эдамаме premium стручках don kreveton,other,,0.5,158.6
БОБЫ соевые зелёные Эдамаме очищенные Premium с/м 500 гр. Don Kreveton,бобы соевые зеленые эдамаме очищенные premium don kreveton,other,,0.5,176.9
