supplier_item_id,supplier_id,name_raw,name_norm,super_class_db,super_class_runtime,sc_confidence,brand_id_db,brand_from_text,pack_db,pack_runtime,price,data_issues
b16d4202-dfa4-44c9-b749-a73c3089e246,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Кукуруза зерно с/м упак. (10 кг/10,150 кг) Россия",кукуруза зерно россия,canned.кукуруза.консервированная,,0.16,,,10.15,10.0,2393.33,NO_BRAND
fca4ff9c-bade-460f-8578-c0232adc91e9,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Шпинат ""СВОЙ УРОЖАЙ"" с/м (0,400 кг) упак. . Россия",шпинат свой урожай россия,other,,0.16,,,0.4,0.4,139.75,SUPER_CLASS_OTHER|NO_BRAND
51f7f2fd-55b5-49da-bf44-b4017e655424,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Каштаны целые замороженные (1,000 кг) упак. . Китай Отгрузка Упак.",каштаны целые замороженные китай отгрузка,other,,0.14,,,1.0,1.0,580.78,SUPER_CLASS_OTHER|NO_BRAND
583e8f21-2ef0-4d66-b98f-6e6a2f10a98c,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Капуста морская маринованная Классическая Русское море (0,500 кг/0,510 кг)",капуста морская маринованная классическая русское море,vegetables.капуста,vegetables.капуста,0.58,,,0.51,0.5,97.58,NO_BRAND
7ba402e4-1a77-4bd4-9962-0927abf4fb07,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Перец красный резанный полосками с/м упак. 15кг,перец красный резанный полосками,canned.перец.консервированный,condiments.spice,1.0,,,15.0,15.0,2296.1,NO_BRAND
58c23e81-b93e-4a48-a3ca-439e4973f176,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Фасоль стручковая резаная б/з 10кг/упак EGY AMERICANA Египет,фасоль стручковая резаная egy americana египет,staples.фасоль,staples.фасоль,0.81,,,10.0,10.0,1287.5,NO_BRAND
e3f7f804-3850-4943-931d-15be90b3e87f,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Капуста брюссельская б/з 2,500кг Ронго",капуста брюссельская ронго,vegetables.капуста,vegetables.капуста,0.94,,,2.5,2.5,710.0,NO_BRAND
18da2b68-cfb9-446f-9c05-685091123684,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,"Луковые кольца в панировке ""Feast"" Gurme (1,500 кг) упак. . Турция",луковые кольца панировке feast gurme турция,vegetables.лук,,0.18,,,1.5,1.5,409.16,NO_BRAND
92140100-8e88-4049-ab8f-0a52d77718a1,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Морковь соломка б/з 10кг/упак Овощпром,морковь соломка овощпром,vegetables.морковь,vegetables.морковь,0.81,,,10.0,10.0,675.0,NO_BRAND
b4a27fa1-ef6e-4b6e-9388-62c2e33ba467,2204f0f3-4c5e-4992-a6fd-47f941f8e7ad,Морковь кубик 10*10 б/з 10кг/упак ФХ Новицких Беларусь,морковь кубик 10 10 фх новицких беларусь,vegetables.морковь,,0.23,,,10.0,10.0,637.5,NO_BRAND
